source,author,title,description,url,publishedAt,content
BBC News,,"UK share values 'most stretched' since 2008, Bank warns",The bank warned US stock price valuations are their most stretched since the dotcom bubble burst.,https://www.bbc.com/news/articles/cx2e0y3913jo,2025-12-02T09:31:47Z,"Archie MitchellBusiness reporter
The Bank of England has warned of a ""sharp correction"" in the value of major tech companies with growing fears of an artificial intelligence (AI) bubble.
It said sh… [+3220 chars]"
Slashdot.org,msmash,How Pokemon Cards Became a Stock Market For Millennials,The Pokemon Trading Card Game has quietly transformed into something its creators never intended: a speculative asset class dominated by adults hunting for profit while children struggle to find a single pack on store shelves. The resale market has climbed so…,https://games.slashdot.org/story/25/12/09/1928240/how-pokemon-cards-became-a-stock-market-for-millennials,2025-12-09T19:28:00Z,The Pokemon Trading Card Game has quietly transformed into something its creators never intended: a speculative asset class dominated by adults hunting for profit while children struggle to find a si… [+972 chars]
The Verge,Terrence O’Brien,The LCD Steam Deck is done,"The most affordable Steam Deck, the $399 LCD model, is not available in the US. And, according to the Steam Deck site, it won't be coming back. Underneath the listings for the various models is a note that says: We are no longer producing the Steam Deck LCD 2…",https://www.theverge.com/news/848595/the-lcd-steam-deck-is-done,2025-12-20T16:09:55Z,"<ul><li></li><li></li><li></li></ul>
The entry-level model is out of stock on the US store and is no longer being produced.
The entry-level model is out of stock on the US store and is no longer be… [+2275 chars]"
Business Insider,jsor@businessinsider.com (Jennifer Sor),"Where to invest to capture the broadening stock market rally in 2026, according to Goldman Sachs","Small-cap stocks are among the corners of the market could hold some of the best opportunities for investors heading into 2026, Goldman Sachs said.",https://www.businessinsider.com/where-to-invest-in-stock-market-2026-outlook-goldman-sachs-2025-11,2025-11-26T19:14:00Z,"Some of the best opportunities in the market next year might have nothing to do with the AI trade.
That's the view at Goldman Sachs Asset Management sees a handful of areas of the market that could … [+2489 chars]"
CNN,"Analysis by David Goldman, CNN",What on Earth just happened to the stock market?,Redemption Day quickly turned into Reckoning Day on Wall Street.,https://www.cnn.com/2025/11/21/business/stock-market-dow,2025-11-21T12:48:23Z,"Traders work on the floor of the New York Stock Exchange. - Spencer Platt/Getty Images
Redemption Day quickly turned into Reckoning Day on Wall Street.
Going into Thursday, the sagging stock market… [+4203 chars]"
Nrn.com,Bret Thorn,Noodles & Company’s board proposes reverse stock split,The move is an attempt to bring its share price back into compliance with Nasdaq Stock Market rules,https://www.nrn.com/fast-casual/noodles-company-s-board-proposes-reverse-stock-split,2025-12-15T16:47:16Z,"You can find original article here Nrn. Subscribe to our free daily Nrn newsletters.
Noodles &amp; Company has announced plans for a reverse stock split in an effort to increase the price of individ… [+2102 chars]"
Kotaku,Ethan Gach,Finance Bro Thinks It Would Be Cool To Turn Your Entire Life Into The Stock Market,"Haven't you always wanted to use shady financial instruments to own the haters?
The post Finance Bro Thinks It Would Be Cool To Turn Your Entire Life Into The Stock Market appeared first on Kotaku.",https://kotaku.com/finance-bro-thinks-it-would-be-cool-to-turn-your-entire-life-into-the-stock-market-2000650201,2025-12-03T21:01:05Z,"Kalshi’s CEO is bullish on the future of prediction market betting to solve disagreements for people, or at least make him very, very rich. What if every outcome in your life could be turned into a w… [+3479 chars]"
Business Insider,jsor@businessinsider.com (Jennifer Sor),AI-fueled wealth destruction and deeper political division: 4 dire warnings from legendary investor Howard Marks,"In a memo to investors, Marks flagged the risks of a stock bubble, AI-driven unemployment and rising ""populist demagoguery"" in the US",https://www.businessinsider.com/stock-market-bubble-ai-job-losses-wealth-howard-marks-oaktree-2025-12,2025-12-10T19:36:51Z,"Howard Marks' latest letter to investors contained some bleak warnings about what he sees ahead for markets and the economy.
Rounding out the billionaire investors' top concerns are AI-fueled job lo… [+3247 chars]"
Yahoo Entertainment,Rian Howlett,"Stock market today: Dow, S&P 500, Nasdaq with Wall Street awaiting expected Fed rate cut",US stock futures were steady ahead of the Federal Reserve's mid-week announcement on interest rates.,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-steady-with-wall-street-awaiting-expected-fed-rate-cut-001431798.html,2025-12-08T00:14:31Z,"US stocks stalled on Monday, as Wall Street headed into a pivotal week dominated by the Federal Reserve's final policy meeting of 2025.
The tech-heavy Nasdaq Composite (^IXIC) rose roughly 0.2%, whi… [+7843 chars]"
Barchart.com,Caleb Naysmith,"Warren Buffett Warns Not to Listen to Investing Gurus, ‘The Only Value of Stock Forecasters Is to Make Fortune Tellers Look Good’","Warren Buffett dismisses stock market forecasting, arguing that long-term business fundamentals — not predictions — form the only reliable basis for...",https://www.barchart.com/story/news/36291467/warren-buffett-warns-not-to-listen-to-investing-gurus-the-only-value-of-stock-forecasters-is-to-make-fortune-tellers-look-good,2025-11-24T19:54:49Z,"Investing legend and Berkshire Hathaway (BRK.A) (BRK.B) CEO Warren Buffett has built a reputation on rejecting many of the conventions that dominate Wall Street, and one of his most pointed observati… [+3571 chars]"
Yahoo Entertainment,Rian Howlett,"Stock market today: Dow, S&P 500, Nasdaq futures leap, sparking hopes of rebound from November losses",US stock futures have jumped pre-market Monday as the Fed has indicated positive sentiment towards a December rate cute.,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-futures-leap-sparking-hopes-of-rebound-from-november-losses-234718396.html,2025-11-23T23:47:18Z,"US stock futures rose Sunday night as investors look for a turnaround heading into the shortened Thanksgiving trading week, following a pullback that has cooled this years AI-driven market rally.
Do… [+2020 chars]"
Yahoo Entertainment,Pulkit Chamria,ACHR vs. EVTL: Which Air Mobility Stock has Better Potential?,"ACHR and EVTL advance their eVTOL programs with new partnerships, testing milestones and financial updates shaping their market positions.",https://finance.yahoo.com/news/achr-vs-evtl-air-mobility-162200733.html,2025-11-28T16:22:00Z,The aviation industry is quickly moving toward electric flight and investor interest in advanced air mobility is rising. Archer Aviation Inc. ACHR and Vertical Aerospace Ltd. EVTL are two notable com… [+4985 chars]
The Verge,Brandon Russell,The absolute best Cyber Monday deals you can already shop,"Black Friday might officially be over, but that doesn’t mean the deals have simply evaporated. As we turn our attention to Cyber Monday, many of our favorite deals are still holding strong. That means you have another chance to save if you’ve been too preoccu…",https://www.theverge.com/gadgets/833101/cyber-monday-best-early-deals-2025,2025-11-30T08:43:50Z,"Black Friday might officially be over, but that doesn’t mean the deals have simply evaporated. As we turn our attention to Cyber Monday, many of our favorite deals are still holding strong. That mean… [+83463 chars]"
Business Insider,Theron Mohamed,Elon Musk is worth a record $648 billion — and his wealth gain this year exceeds Bernard Arnault's entire fortune,"Elon Musk has grown $216 billion richer this year, thanks to Tesla stock hitting an all-time high and SpaceX doubling in value since the summer.",https://www.businessinsider.com/elon-musk-net-worth-wealth-oracle-mastercard-tesla-stock-spacex-2025-12,2025-12-17T14:30:17Z,"Tesla's board has warned that Elon Musk could quit as CEO if the $1 trillion pay package isn't passed.JOEL SAGET/AFP via Getty Images
<ul><li>Elon Musk's wealth hit a record $648 billion, extending … [+3399 chars]"
